Var1,Var2,Freq
222229,TRUE,6
222245,TRUE,5
222258,TRUE,9
222263,TRUE,9
222274,TRUE,3
222286,TRUE,9
222303,TRUE,9
222322,TRUE,7
222331,TRUE,7
222346,TRUE,5
222360,TRUE,3
222363,TRUE,4
222396,TRUE,9
222425,TRUE,8
222459,TRUE,6
222482,TRUE,6
222510,TRUE,4
222537,TRUE,3
222547,TRUE,7
222575,TRUE,3
222594,TRUE,6
222639,TRUE,7
222655,TRUE,9
222702,TRUE,5
222705,TRUE,3
222712,TRUE,8
222746,TRUE,4
222761,TRUE,8
222768,TRUE,4
222790,TRUE,7
222800,TRUE,4
222805,TRUE,6
222809,TRUE,7
222863,TRUE,9
222886,TRUE,5
222904,TRUE,7
222912,TRUE,9
222915,TRUE,9
222943,TRUE,4
222985,TRUE,6
223003,TRUE,5
223095,TRUE,6
223121,TRUE,3
223131,TRUE,8
223139,TRUE,6
223155,TRUE,4
223183,TRUE,4
223226,TRUE,6
223227,TRUE,6
223253,TRUE,6
223289,TRUE,5
223311,TRUE,3
223321,TRUE,5
223352,TRUE,7
223367,TRUE,3
223368,TRUE,7
223383,TRUE,5
223406,TRUE,7
223520,TRUE,5
223523,TRUE,6
223526,TRUE,4
223533,TRUE,5
223566,TRUE,7
223580,TRUE,4
223596,TRUE,7
223639,TRUE,5
223643,TRUE,5
223654,TRUE,8
223686,TRUE,5
223728,TRUE,8
223753,TRUE,8
223765,TRUE,4
223770,TRUE,6
223783,TRUE,6
223789,TRUE,7
223793,TRUE,7
223806,TRUE,5
223817,TRUE,7
223828,TRUE,5
223872,TRUE,6
223885,TRUE,5
223896,TRUE,4
223936,TRUE,9
223947,TRUE,6
223949,TRUE,3
223976,TRUE,3
223991,TRUE,5
224020,TRUE,5
224065,TRUE,4
224087,TRUE,9
224106,TRUE,5
224135,TRUE,6
224152,TRUE,4
224177,TRUE,5
224199,TRUE,7
224201,TRUE,5
224204,TRUE,7
224207,TRUE,7
224212,TRUE,4
224216,TRUE,3
224235,TRUE,7
224268,TRUE,3
224283,TRUE,8
224342,TRUE,9
224343,TRUE,4
224380,TRUE,7
224423,TRUE,5
224486,TRUE,6
224501,TRUE,6
224510,TRUE,3
224511,TRUE,9
224516,TRUE,4
224524,TRUE,9
224558,TRUE,5
224570,TRUE,6
224582,TRUE,7
224585,TRUE,6
224603,TRUE,7
224620,TRUE,5
224624,TRUE,5
224636,TRUE,8
224655,TRUE,7
224678,TRUE,6
224679,TRUE,9
224684,TRUE,8
224708,TRUE,4
224732,TRUE,4
224752,TRUE,3
224755,TRUE,3
224807,TRUE,3
224815,TRUE,3
224836,TRUE,5
224859,TRUE,6
224952,TRUE,3
224978,TRUE,4
224991,TRUE,3
224994,TRUE,9
225024,TRUE,4
225033,TRUE,6
225065,TRUE,3
225067,TRUE,4
225068,TRUE,4
225109,TRUE,8
225127,TRUE,4
225169,TRUE,9
225225,TRUE,8
225249,TRUE,4
225256,TRUE,3
225314,TRUE,9
225323,TRUE,4
225355,TRUE,3
225397,TRUE,4
225439,TRUE,3
225471,TRUE,4
225512,TRUE,9
225513,TRUE,8
225530,TRUE,9
225561,TRUE,9
225608,TRUE,3
225618,TRUE,8
225696,TRUE,9
225699,TRUE,9
225702,TRUE,7
225726,TRUE,4
225727,TRUE,7
225752,TRUE,9
225753,TRUE,5
225791,TRUE,8
225803,TRUE,4
225806,TRUE,3
225809,TRUE,3
225820,TRUE,5
225825,TRUE,8
225843,TRUE,6
225889,TRUE,9
225901,TRUE,3
225906,TRUE,7
225941,TRUE,7
225967,TRUE,8
225973,TRUE,4
225981,TRUE,5
225999,TRUE,6
226004,TRUE,5
226049,TRUE,8
226051,TRUE,4
226059,TRUE,4
226078,TRUE,3
226084,TRUE,5
226090,TRUE,4
226093,TRUE,3
226110,TRUE,5
226112,TRUE,7
226121,TRUE,9
226158,TRUE,4
226216,TRUE,4
226252,TRUE,9
226260,TRUE,9
226277,TRUE,3
226279,TRUE,4
226304,TRUE,3
226337,TRUE,9
226359,TRUE,5
226422,TRUE,7
226441,TRUE,3
226444,TRUE,8
226458,TRUE,3
226478,TRUE,4
226504,TRUE,8
226505,TRUE,4
226511,TRUE,3
226521,TRUE,4
226534,TRUE,7
226551,TRUE,5
226640,TRUE,8
226663,TRUE,3
226680,TRUE,7
226700,TRUE,8
226716,TRUE,3
226724,TRUE,6
226793,TRUE,4
226855,TRUE,4
226857,TRUE,3
226871,TRUE,3
226943,TRUE,8
226973,TRUE,5
226977,TRUE,4
226987,TRUE,3
227024,TRUE,6
227033,TRUE,8
227066,TRUE,6
227102,TRUE,6
227103,TRUE,3
227130,TRUE,3
227158,TRUE,8
227159,TRUE,5
227171,TRUE,4
227193,TRUE,8
227220,TRUE,8
227285,TRUE,7
227286,TRUE,8
227292,TRUE,7
227338,TRUE,5
227359,TRUE,8
227372,TRUE,8
227374,TRUE,5
227380,TRUE,6
227386,TRUE,3
227436,TRUE,7
227446,TRUE,7
227501,TRUE,9
227507,TRUE,6
227539,TRUE,6
227565,TRUE,8
227569,TRUE,9
227571,TRUE,9
227582,TRUE,9
227609,TRUE,5
227619,TRUE,3
227669,TRUE,7
227679,TRUE,9
227681,TRUE,6
227693,TRUE,6
227709,TRUE,7
227745,TRUE,5
227751,TRUE,8
227804,TRUE,6
227840,TRUE,4
227924,TRUE,6
227945,TRUE,7
227958,TRUE,7
228011,TRUE,7
228066,TRUE,5
228140,TRUE,4
228150,TRUE,5
228172,TRUE,7
228184,TRUE,5
228230,TRUE,5
228240,TRUE,4
228245,TRUE,9
228257,TRUE,8
228259,TRUE,9
228273,TRUE,5
228286,TRUE,8
228331,TRUE,8
228368,TRUE,9
228395,TRUE,6
228403,TRUE,4
228414,TRUE,4
228427,TRUE,7
228480,TRUE,8
228506,TRUE,7
228526,TRUE,3
228546,TRUE,6
228548,TRUE,3
228588,TRUE,3
228625,TRUE,7
228632,TRUE,9
228638,TRUE,5
228651,TRUE,9
228661,TRUE,5
228692,TRUE,8
228713,TRUE,9
228785,TRUE,3
228792,TRUE,5
228800,TRUE,8
228815,TRUE,9
228833,TRUE,4
228903,TRUE,4
228916,TRUE,8
228918,TRUE,8
228929,TRUE,6
228931,TRUE,3
228958,TRUE,6
228965,TRUE,4
228968,TRUE,6
229010,TRUE,9
229033,TRUE,8
229052,TRUE,6
229084,TRUE,8
229129,TRUE,8
229156,TRUE,7
229168,TRUE,4
229229,TRUE,6
229250,TRUE,6
229288,TRUE,5
229290,TRUE,9
229306,TRUE,7
229344,TRUE,6
229362,TRUE,3
229368,TRUE,4
229440,TRUE,7
229443,TRUE,9
229475,TRUE,4
229515,TRUE,7
229520,TRUE,7
229578,TRUE,6
229580,TRUE,5
229597,TRUE,9
229689,TRUE,6
229709,TRUE,9
229721,TRUE,8
229736,TRUE,3
229782,TRUE,7
229829,TRUE,6
229847,TRUE,8
229864,TRUE,6
229874,TRUE,3
229876,TRUE,5
229902,TRUE,8
229926,TRUE,5
229987,TRUE,5
230081,TRUE,8
